restaurant_id,restaurant_name,has_menu,method,valid_review_count,top1_menu,top1_count,top2_menu,top2_count,top3_menu,top3_count,top4_menu,top4_count,top5_menu,top5_count
catchtable_qP3qYea0tR0KjNH0M46zdw,우아라 광화문,True,weighted_match,1427,런치 스페셜 코스 (110g/140g),295,우아라 시그니처 코스 (140g),293,런치 A 코스,281,런치 B 코스(80g/110g/140g),281,런치 C 코스(80g/110g/140g),281
catchtable_XLgS-LCjhmIqtVQDvxSe3A,스시선명,True,weighted_match,493,스시 오마카세,135,,,,,,,,
catchtable_T4JI3hAMKw1VMzdEcUVs6Q,oiljang,True,weighted_match,466,들기름 미나리 장아찌 국수,65,양배추 초리조크림,25,된장가자미&마드라스 커리 버터소스,23,10일 건조 참나무 훈연 오리스테이크,18,제주 말차 빙수 & 막걸리연유,13
catchtable_1tqx1qp_NgJrIFsA9IrLjA,안안 보정점,True,weighted_match,136,반쎄오,29,월남쌈,5,분짜,3,소고기 쌀국수,3,분보후에,3
catchtable_lDDcqIpynbYIAYiW23Eftg,타루키,True,weighted_match,141,디너코스 1인,6,디너코스 1인 (2인 사케1병 주문시),6,주류메뉴(니혼슈 소츄 바틀필수),3,,,,
catchtable_Mq4lmQ9uSjMr2BiBU3iMog,양키스그릴 문래점,True,weighted_match,220,뉴욕 스테이크 250g,51,립엔드스테이크 230g,46,트러플 화이트 라구 파스타,23,치즈 그레이브 파스타,17,매쉬드 포테이토,16
catchtable_2pQvdPGE-AkiD6GJgHJeXQ,파이프그라운드 한남,True,weighted_match,1351,옥수수 피자,154,페퍼로니 피자,22,화이트 라구 파스타,20,시저 샐러드,8,레드 라구 파스타,7
catchtable_zZ4Zc0UIXiq3MXstak4xTA,홈수끼 방이본점,True,weighted_match,286,고급그린채소,13,런치A코스(평일),10,런치B코스(평일),10,런치D코스(평일),10,디너A코스(평일/주말),10
catchtable_ncoEozbpQQEGOU0VNZyHBg,오우칸,True,weighted_match,268,전복 게우 크림파스타,43,사시미 모리아와세(12 ~ 14종),34,스키야끼,9,후토마끼,9,오늘의 덴뿌라,3
catchtable_y79VmbKnWje_znOOnFZ59A,ETF베이커리 ,True,weighted_match,399,트러플 소금빵 미듐,91,솔티드 버터 바게트,32,리코타 단호박 오픈 샌드위치,24,파스트라미 당근 라페 오픈 샌드위치,24,★시그니처★ 두바이초코 딸기 케이크 미듐,22
catchtable_ZhkMwQWQH8y3lAPsl16aMw,Steakist 스테이키스트,True,weighted_match,1435,GLC 기념일차림 *2인코스가격,568,Fabulous 한우 명품차림 *2인코스가격,185,MeatLover 한우차림 *2인코스가격,141,수제 갈릭버터 올브 브레드 2pc,40,그라바드 락스 캐비어,9
catchtable_VNNcX6NTZbtkZk3rbIXWhA,우시야 남포점,True,weighted_match,133,솥밥,13,안심,4,채끝,3,업진살,2,늑간살,2
catchtable_KMbAoclChKAslkAy9u_tZw,비플리끄,True,weighted_match,289,,,,,,,,,,
catchtable_u0Yj_Jy1Y_s0l9WSZxcBxA,파파라구,True,weighted_match,302,화이트 크림 파스타,79,써니피자(시그니쳐),52,크림&머쉬룸 라자냐(하루25개 한정),49,라구 라자냐(시그니쳐/하루30개한정),47,라구 파스타(국내최초 데체코마팔디네),47
catchtable_gG7d8iKm79RpBLzq-ltnow,상수 냉장고,True,weighted_match,223,목살 (150g),50,삼겹살 (150g),29,명란 계란찜,12,된장/김치찌개,10,항정살 (150g),9
catchtable_5AKtgdh4fud7Fhc_8e6cvg,단미그린비,True,weighted_match,754,자연정찬,43,귀연정찬,20,미소정찬,4,현보정찬,3,해연정찬,2
catchtable_5GjXdqILgJjobJejIa4aYw,틴서울 tiiin seoul,True,weighted_match,1078,,,,,,,,,,
catchtable_N73wBAr_ciYbpJ0CL2eZOw,우마담 문래,True,weighted_match,393,우마담 문래 오마카세,47,우마담 문래 런치 오마카세,47,,,,,,
